Product Name,Product Description,Short Description,Regular Price,Sale Price,SKU,Stock Quantity,Category,Tags,Image URL,Weight,Length,Width,Height
"Wireless Bluetooth Headphones","High-quality wireless Bluetooth headphones with noise cancellation and 30-hour battery life. Perfect for music lovers and professionals.","Premium wireless headphones with noise cancellation",99.99,79.99,WBH-001,50,Electronics,"bluetooth,headphones,wireless,audio",https://example.com/images/headphones.jpg,0.5,8,7,3
"Organic Cotton T-Shirt","100% organic cotton t-shirt made from sustainable materials. Soft, comfortable, and eco-friendly.","Eco-friendly organic cotton tee",29.99,,OCT-001,100,Clothing,"organic,cotton,sustainable,eco-friendly",https://example.com/images/tshirt.jpg,0.2,12,8,1
"Stainless Steel Water Bottle","Insulated stainless steel water bottle that keeps drinks cold for 24 hours or hot for 12 hours. BPA-free and leak-proof.","Insulated steel water bottle - 24oz",34.99,24.99,SSWB-001,75,"Home & Garden","water bottle,insulated,stainless steel,eco-friendly",https://example.com/images/bottle.jpg,0.8,10,3,3
"Yoga Mat Premium","Premium yoga mat with superior grip and cushioning. Made from natural rubber with alignment guides.","Premium yoga mat with alignment guides",59.99,,YM-001,30,"Health & Fitness","yoga,mat,exercise,fitness,rubber",https://example.com/images/yogamat.jpg,2.5,72,24,0.25
"LED Desk Lamp","Adjustable LED desk lamp with touch controls and USB charging port. Energy-efficient and eye-friendly lighting.","Touch control LED desk lamp with USB port",45.99,35.99,LED-001,40,"Home & Garden","led,lamp,desk,usb,adjustable",https://example.com/images/desklamp.jpg,1.2,18,8,15
"Ceramic Coffee Mug Set","Set of 4 handcrafted ceramic coffee mugs. Microwave and dishwasher safe. Perfect for coffee enthusiasts.","Handcrafted ceramic mug set (4 pieces)",39.99,,CCM-001,25,"Home & Garden","coffee,mug,ceramic,handcrafted,set",https://example.com/images/mugs.jpg,1.8,4,4,4
"Bluetooth Speaker Portable","Compact portable Bluetooth speaker with 360-degree sound and waterproof design. 12-hour battery life.","Waterproof portable Bluetooth speaker",69.99,49.99,BSP-001,60,Electronics,"bluetooth,speaker,portable,waterproof,audio",https://example.com/images/speaker.jpg,0.7,6,6,3
"Bamboo Cutting Board","Large bamboo cutting board with juice groove. Antimicrobial and sustainable kitchen essential.","Large bamboo cutting board with groove",24.99,,BCB-001,80,"Home & Garden","bamboo,cutting board,kitchen,sustainable",https://example.com/images/cuttingboard.jpg,1.5,18,12,1
"Fitness Resistance Bands","Set of 5 resistance bands with different resistance levels. Includes door anchor and exercise guide.","Resistance band set with door anchor",19.99,14.99,FRB-001,120,"Health & Fitness","resistance bands,fitness,exercise,workout",https://example.com/images/bands.jpg,0.5,12,8,2
"Essential Oil Diffuser","Ultrasonic essential oil diffuser with color-changing LED lights. Quiet operation and auto shut-off.","Ultrasonic oil diffuser with LED lights",49.99,,EOD-001,35,"Home & Garden","essential oil,diffuser,aromatherapy,led",https://example.com/images/diffuser.jpg,1.0,6,6,8
